Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message
15:04:39:954,46.00584,0,Event,,,,0,0,none,,,,,,,,,,,,,,Started Experiment
15:04:39:955,46.00584,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinsetID:4 absolute and delta(local position)
15:04:39:955,46.00584,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint0:  x: 7.717157 y: -1.582242 z: -4.728476 deltax:3 deltay:0 deltaz:-0.5
15:04:39:956,46.00584,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint1:  x: 10.73438 y: -1.582242 z: -1.24331 deltax:-0.5 deltay:0 deltaz:2.5
15:04:39:957,46.00584,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint2:  x: 5.544304 y: -1.582242 z: 0.7823062 deltax:-2.5 deltay:0 deltaz:-2.7
15:04:39:957,46.00584,0,Event,,,,0,0,none,,,,,,,,,,,,,,Mark should happen if checked on terminal.
15:04:39:974,46.33918,0,RTdata,5.498 -0.052 -3.095,301.957 272.099 358.514,-0.539 0.841 -0.043,1,1,fakeCeiling,1.378 1.530 -2.728,-0.017 0.848 -0.529,0.046 0.841 -0.539,1.412 2.056 -3.072,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
15:04:39:997,46.37133,0,RTdata,5.498 -0.052 -3.094,301.921 272.647 358.125,-0.540 0.840 -0.042,1,1,fakeCeiling,1.377 1.530 -2.727,-0.022 0.849 -0.528,0.045 0.840 -0.540,1.411 2.083 -3.089,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,196.858 153.006,231.395 179.491,NaN,
15:04:40:031,46.40488,0,RTdata,5.499 -0.052 -3.093,301.922 273.199 357.741,-0.545 0.837 -0.046,1,1,fakeCeiling,1.375 1.531 -2.726,-0.027 0.849 -0.528,0.049 0.837 -0.545,1.415 2.114 -3.113,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,197.255 152.363,231.607 179.806,NaN,
15:04:40:064,46.43793,0,RTdata,5.499 -0.052 -3.091,301.943 273.815 357.277,-0.547 0.836 -0.046,1,1,fakeCeiling,1.374 1.531 -2.726,-0.033 0.849 -0.528,0.048 0.836 -0.547,1.414 2.124 -3.121,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,197.219 151.997,231.329 180.591,NaN,
15:04:40:098,46.47157,0,RTdata,5.500 -0.052 -3.090,301.946 274.556 356.630,-0.543 0.839 -0.044,1,1,fakeCeiling,1.372 1.531 -2.725,-0.039 0.849 -0.528,0.047 0.839 -0.543,1.414 2.153 -3.134,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,197.352 151.818,231.706 181.551,NaN,
15:04:40:131,46.50488,0,RTdata,5.501 -0.052 -3.089,301.968 275.299 355.938,-0.547 0.836 -0.043,1,1,fakeCeiling,1.371 1.531 -2.725,-0.046 0.848 -0.527,0.046 0.836 -0.546,1.415 2.197 -3.166,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,197.782 151.051,232.017 182.313,NaN,
15:04:40:164,46.53857,0,RTdata,5.501 -0.052 -3.087,302.016 275.954 355.303,-0.548 0.835 -0.044,1,1,fakeCeiling,1.370 1.531 -2.724,-0.052 0.848 -0.528,0.047 0.835 -0.548,1.413 2.195 -3.166,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,198.553 149.977,232.401 183.100,NaN,
15:04:40:198,46.57172,0,RTdata,5.501 -0.051 -3.087,302.052 276.402 354.872,-0.545 0.837 -0.040,1,1,fakeCeiling,1.369 1.531 -2.724,-0.057 0.848 -0.528,0.043 0.837 -0.545,1.408 2.203 -3.168,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,198.429 150.154,231.621 184.198,NaN,
15:04:40:232,46.60545,0,RTdata,5.502 -0.052 -3.086,302.115 276.639 354.675,-0.548 0.835 -0.040,1,1,fakeCeiling,1.369 1.531 -2.724,-0.059 0.847 -0.528,0.043 0.835 -0.548,1.406 2.191 -3.163,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,198.591 149.983,232.427 184.239,NaN,
15:04:40:264,46.63855,0,RTdata,5.502 -0.052 -3.086,302.191 276.784 354.540,-0.550 0.835 -0.037,1,1,fakeCeiling,1.368 1.531 -2.724,-0.060 0.846 -0.529,0.040 0.835 -0.549,1.402 2.191 -3.163,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,198.485 150.141,232.884 184.113,NaN,
15:04:40:298,46.67216,0,RTdata,5.502 -0.052 -3.086,302.302 276.832 354.495,-0.505 0.862 -0.036,1,1,fakeCeiling,1.368 1.531 -2.724,-0.061 0.845 -0.531,0.038 0.862 -0.505,1.403 2.274 -3.164,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,2.877,91.429,191.914 149.278,240.503 184.665,60.339,
15:04:40:332,46.70544,0,RTdata,5.501 -0.051 -3.085,302.485 276.816 354.496,-0.502 0.864 -0.026,1,1,fakeCeiling,1.368 1.531 -2.724,-0.061 0.844 -0.534,0.028 0.864 -0.502,1.392 2.213 -3.123,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.234,245.910,191.197 149.686,239.982 183.176,7.010,
15:04:40:364,46.73866,0,RTdata,5.501 -0.051 -3.086,302.675 276.756 354.561,-0.503 0.864 -0.024,1,1,fakeCeiling,1.368 1.531 -2.724,-0.061 0.842 -0.536,0.027 0.864 -0.503,1.390 2.223 -3.130,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,190.642 149.625,240.727 182.526,NaN,
15:04:40:398,46.77214,0,RTdata,5.501 -0.051 -3.086,302.837 276.747 354.619,-0.495 0.862 0.110,1,1,fakeCeiling,1.368 1.531 -2.725,-0.061 0.840 -0.539,-0.108 0.862 -0.496,1.223 2.697 -3.397,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,7.558,349.804,184.474 166.914,233.466 165.581,164.881,
15:04:40:432,46.80548,0,RTdata,5.500 -0.051 -3.086,302.952 276.812 354.655,-0.497 0.855 0.150,1,1,fakeCeiling,1.368 1.531 -2.725,-0.062 0.839 -0.540,-0.147 0.855 -0.498,1.255 2.192 -3.114,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.451,19.901,181.202 173.710,230.509 158.799,13.534,
15:04:40:465,46.83895,0,RTdata,5.501 -0.051 -3.086,303.019 276.950 354.654,-0.499 0.854 0.150,1,1,fakeCeiling,1.369 1.531 -2.725,-0.063 0.838 -0.541,-0.148 0.854 -0.499,1.254 2.196 -3.119,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.352,205.874,181.740 173.042,230.116 158.667,5.667,
15:04:40:499,46.87219,0,RTdata,5.501 -0.052 -3.087,303.043 277.076 354.656,-0.504 0.850 0.152,1,1,fakeCeiling,1.369 1.531 -2.724,-0.065 0.838 -0.541,-0.149 0.850 -0.505,1.260 2.155 -3.101,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,182.232 172.891,229.991 158.263,NaN,
15:04:40:532,46.90571,0,RTdata,5.501 -0.051 -3.087,303.051 277.086 354.737,-0.506 0.849 0.151,1,1,fakeCeiling,1.370 1.531 -2.724,-0.065 0.838 -0.542,-0.149 0.849 -0.507,1.262 2.144 -3.097,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,182.349 172.895,229.356 158.100,NaN,
15:04:40:565,46.93892,0,RTdata,5.502 -0.052 -3.088,303.014 276.921 354.962,-0.508 0.848 0.150,1,1,fakeCeiling,1.370 1.531 -2.724,-0.063 0.839 -0.541,-0.147 0.848 -0.509,1.265 2.131 -3.090,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,182.344 172.805,228.494 156.882,NaN,
15:04:40:599,46.973,0,RTdata,5.502 -0.052 -3.089,302.949 276.614 355.279,-0.512 0.845 0.153,1,1,fakeCeiling,1.371 1.531 -2.723,-0.060 0.839 -0.541,-0.151 0.845 -0.513,1.275 2.059 -3.050,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,182.449 173.321,227.522 156.733,NaN,
15:04:40:632,47.00602,0,RTdata,5.503 -0.052 -3.090,302.877 276.286 355.593,-0.508 0.848 0.150,1,1,fakeCeiling,1.372 1.530 -2.722,-0.057 0.840 -0.540,-0.147 0.848 -0.509,1.271 2.098 -3.070,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,182.049 173.831,228.727 156.268,NaN,
15:04:40:665,47.03945,0,RTdata,5.504 -0.052 -3.090,302.783 276.012 355.821,-0.487 0.846 0.216,1,1,fakeCeiling,1.373 1.530 -2.721,-0.054 0.841 -0.539,-0.214 0.846 -0.488,1.183 2.270 -3.156,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,177.063 186.097,224.026 147.430,NaN,
15:04:40:699,47.07274,0,RTdata,5.505 -0.052 -3.091,302.678 275.783 355.995,-0.483 0.842 0.240,1,1,fakeCeiling,1.373 1.530 -2.720,-0.052 0.842 -0.537,-0.237 0.842 -0.484,1.162 2.273 -3.155,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.275,237.024,176.728 188.719,223.118 145.082,8.257,
15:04:40:732,47.10626,0,RTdata,5.506 -0.052 -3.091,302.556 275.612 356.157,-0.482 0.844 0.236,1,1,fakeCeiling,1.374 1.530 -2.719,-0.050 0.843 -0.536,-0.233 0.844 -0.483,1.155 2.314 -3.176,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,176.865 189.063,223.108 144.765,NaN,
15:04:40:766,47.13987,0,RTdata,5.507 -0.052 -3.092,302.462 275.602 356.155,-0.483 0.843 0.239,1,1,fakeCeiling,1.374 1.530 -2.718,-0.050 0.844 -0.534,-0.236 0.843 -0.484,1.165 2.275 -3.154,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,177.125 188.768,222.064 144.651,NaN,
15:04:40:799,47.1731,0,RTdata,5.508 -0.052 -3.092,302.408 275.693 356.097,-0.527 0.849 0.043,1,1,fakeCeiling,1.374 1.530 -2.717,-0.051 0.844 -0.534,-0.041 0.849 -0.528,1.334 2.408 -3.271,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,12.883,188.642,193.266 162.362,229.747 175.119,235.864,
15:04:40:833,47.20655,0,RTdata,5.509 -0.052 -3.092,302.373 275.835 355.999,-0.574 0.813 -0.097,1,1,fakeCeiling,1.375 1.530 -2.717,-0.052 0.845 -0.533,0.099 0.813 -0.574,1.485 2.412 -3.347,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,204.746 148.352,230.976 195.907,NaN,
15:04:40:867,47.24014,0,RTdata,5.509 -0.052 -3.092,302.355 275.916 355.989,-0.575 0.812 -0.100,1,1,fakeCeiling,1.375 1.530 -2.716,-0.053 0.845 -0.533,0.102 0.812 -0.574,1.476 2.321 -3.282,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.586,203.279,205.592 147.200,229.998 196.015,14.055,
15:04:40:902,47.27636,0,RTdata,5.510 -0.052 -3.093,302.348 275.991 355.984,-0.573 0.814 -0.099,1,1,fakeCeiling,1.375 1.530 -2.715,-0.053 0.845 -0.532,0.102 0.814 -0.572,1.475 2.315 -3.275,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,205.386 146.848,230.097 195.469,NaN,
15:04:40:932,47.30629,0,RTdata,5.510 -0.053 -3.093,302.354 276.109 355.944,-0.575 0.813 -0.097,1,1,fakeCeiling,1.375 1.530 -2.715,-0.054 0.845 -0.532,0.100 0.813 -0.574,1.475 2.324 -3.282,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,205.721 146.295,230.213 195.348,NaN,
15:04:40:965,47.33973,0,RTdata,5.511 -0.053 -3.093,302.413 276.418 355.774,-0.575 0.813 -0.095,1,1,fakeCeiling,1.375 1.530 -2.715,-0.057 0.844 -0.533,0.098 0.813 -0.574,1.472 2.296 -3.262,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,205.717 145.676,231.154 195.123,NaN,
15:04:41:000,47.37352,0,RTdata,5.510 -0.053 -3.093,302.613 277.009 355.395,-0.577 0.812 -0.090,1,1,fakeCeiling,1.375 1.530 -2.715,-0.063 0.842 -0.535,0.093 0.812 -0.576,1.473 2.328 -3.284,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,205.646 145.141,230.270 194.823,NaN,
15:04:41:033,47.40665,0,RTdata,5.509 -0.053 -3.092,303.124 277.892 354.823,-0.581 0.809 -0.087,1,1,fakeCeiling,1.374 1.529 -2.716,-0.072 0.837 -0.542,0.089 0.809 -0.580,1.462 2.245 -3.226,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,206.502 144.626,230.929 195.651,NaN,
15:04:41:066,47.44019,0,RTdata,5.506 -0.053 -3.091,304.221 279.068 354.062,-0.590 0.803 -0.081,1,1,fakeCeiling,1.373 1.529 -2.719,-0.086 0.827 -0.556,0.084 0.803 -0.590,1.457 2.213 -3.208,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,206.133 144.127,231.835 196.895,NaN,
15:04:41:100,47.47349,0,RTdata,5.500 -0.054 -3.089,306.316 280.531 353.282,-0.676 0.733 0.077,1,1,fakeCeiling,1.371 1.529 -2.725,-0.105 0.806 -0.583,-0.074 0.733 -0.676,1.272 2.895 -3.908,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,10.701,324.952,212.043 164.951,210.652 181.646,197.473,
15:04:41:133,47.5071,0,RTdata,5.491 -0.054 -3.086,309.817 282.104 352.919,-0.797 0.566 0.211,1,1,fakeCeiling,1.369 1.528 -2.734,-0.131 0.768 -0.627,-0.207 0.566 -0.798,1.126 2.345 -3.765,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,229.384 189.328,184.904 176.434,NaN,
15:04:41:166,47.54009,0,RTdata,5.480 -0.056 -3.083,314.492 283.955 352.723,-0.853 0.438 0.285,1,1,fakeCeiling,1.365 1.527 -2.745,-0.166 0.713 -0.681,-0.280 0.438 -0.854,1.196 1.918 -3.327,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,240.293 206.878,166.948 173.774,NaN,
15:04:41:200,47.57373,0,RTdata,5.467 -0.057 -3.078,319.956 286.267 352.433,-0.869 0.382 0.315,1,0,fakeCeiling,1.361 1.525 -2.758,-0.211 0.643 -0.736,-0.311 0.382 -0.870,1.196 1.918 -3.327,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,242.875 215.051,162.796 172.413,NaN,
15:04:41:234,47.60708,0,RTdata,5.454 -0.060 -3.073,325.849 288.576 352.266,-0.880 0.328 0.344,1,0,fakeWallSouth,1.356 1.522 -2.772,-0.260 0.561 -0.786,-0.340 0.328 -0.881,1.196 1.918 -3.327,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,242.700 216.303,161.847 172.879,NaN,
15:04:41:267,47.64043,0,RTdata,5.440 -0.064 -3.067,332.165 290.778 352.191,-0.888 0.281 0.363,1,0,fakeWallSouth,1.350 1.518 -2.786,-0.310 0.467 -0.828,-0.359 0.281 -0.890,1.196 1.918 -3.327,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,238.283 213.856,167.236 171.122,NaN,
15:04:41:300,47.67395,0,RTdata,5.427 -0.068 -3.063,338.759 292.617 352.537,-0.886 -0.025 0.463,1,1,fakeWallSouth,1.346 1.514 -2.799,-0.354 0.362 -0.862,-0.458 -0.025 -0.888,0.242 1.713 -5.110,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,6.774,338.011,231.965 205.646,175.628 174.976,75.244,
15:04:41:334,47.70757,0,RTdata,5.414 -0.073 -3.059,345.614 294.044 353.431,-0.886 -0.077 0.458,1,1,fakeWallSouth,1.342 1.509 -2.811,-0.390 0.248 -0.887,-0.454 -0.077 -0.888,0.258 1.584 -5.080,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,3.478,12.193,225.772 197.005,185.099 178.161,69.518,
15:04:41:367,47.74068,0,RTdata,5.404 -0.080 -3.056,352.691 295.223 354.718,-0.873 -0.168 0.458,1,1,fakeWallSouth,1.339 1.503 -2.821,-0.418 0.127 -0.899,-0.454 -0.168 -0.875,0.516 1.396 -4.509,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,3.757,52.169,221.067 193.176,192.792 180.232,23.846,
15:04:41:400,47.77399,0,RTdata,5.395 -0.088 -3.054,0.216 296.428 356.251,-0.857 -0.235 0.459,1,1,fakeWallSouth,1.337 1.494 -2.831,-0.441 -0.004 -0.898,-0.455 -0.235 -0.859,0.854 1.366 -3.799,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,5.866,76.633,215.076 189.420,199.762 181.413,59.929,
15:04:41:434,47.80742,0,RTdata,5.388 -0.099 -3.053,7.507 298.012 357.983,-0.829 -0.293 0.476,1,1,fakeWallSouth,1.336 1.484 -2.837,-0.461 -0.131 -0.878,-0.472 -0.293 -0.831,0.771 1.263 -3.903,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,9.868,81.603,205.393 187.397,208.666 181.846,69.859,
15:04:41:467,47.84092,0,RTdata,5.384 -0.105 -3.051,11.572 299.706 359.388,-0.816 -0.288 0.501,1,1,fakeWallSouth,1.334 1.477 -2.842,-0.481 -0.201 -0.853,-0.497 -0.288 -0.819,0.126 0.904 -4.972,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,6.018,96.449,181.927 180.747,232.342 181.264,180.552,
15:04:41:501,47.87437,0,RTdata,5.380 -0.110 -3.051,14.614 301.055 0.282,-0.789 -0.342 0.510,1,1,fakeGround,1.334 1.472 -2.845,-0.495 -0.252 -0.831,-0.506 -0.342 -0.792,0.207 0.800 -4.701,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,2.701,261.751,186.707 179.141,228.533 183.781,81.023,
15:04:41:534,47.90752,0,RTdata,5.378 -0.113 -3.051,16.174 302.031 0.676,-0.789 -0.331 0.517,1,1,fakeGround,1.334 1.470 -2.847,-0.505 -0.279 -0.817,-0.513 -0.331 -0.792,-7.034 -3.653 -16.219,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,2.060,213.963,183.815 175.167,233.247 182.618,69.652,
15:04:41:567,47.9411,0,RTdata,5.378 -0.112 -3.051,15.867 302.752 0.779,-0.799 -0.303 0.519,1,1,fakeWallSouth,1.334 1.470 -2.848,-0.516 -0.273 -0.812,-0.515 -0.303 -0.802,-2.414 -0.820 -8.831,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,3.231,156.741,178.739 170.841,239.916 181.024,16.726,
15:04:41:601,47.97453,0,RTdata,5.377 -0.110 -3.052,15.141 303.253 0.733,-0.801 -0.297 0.520,1,1,fakeWallSouth,1.335 1.472 -2.848,-0.525 -0.261 -0.810,-0.516 -0.297 -0.803,-1.052 0.021 -6.627,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,4.140,187.959,183.755 169.166,236.313 181.753,27.380,
15:04:41:634,48.00769,0,RTdata,5.378 -0.108 -3.053,14.399 303.600 0.510,-0.801 -0.294 0.522,1,1,fakeWallSouth,1.336 1.474 -2.848,-0.532 -0.249 -0.809,-0.518 -0.294 -0.803,-0.238 0.531 -5.316,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,5.232,197.722,186.662 167.626,233.395 181.799,14.281,
15:04:41:667,48.04116,0,RTdata,5.378 -0.106 -3.053,13.895 304.100 0.151,-0.801 -0.295 0.520,1,1,fakeWallSouth,1.336 1.476 -2.848,-0.540 -0.240 -0.807,-0.516 -0.295 -0.804,-2.678 -0.914 -9.207,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,6.313,208.076,190.259 166.989,230.536 181.489,10.875,
15:04:41:701,48.07479,0,RTdata,5.379 -0.105 -3.052,13.462 305.570 359.875,-0.790 -0.293 0.539,1,1,fakeWallSouth,1.335 1.477 -2.847,-0.562 -0.233 -0.794,-0.535 -0.293 -0.793,-0.080 0.648 -5.060,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,6.613,209.326,191.002 166.672,228.920 180.859,3.732,
15:04:41:734,48.108,0,RTdata,5.381 -0.104 -3.048,13.056 309.352 359.835,-0.767 -0.289 0.573,1,1,fakeWallSouth,1.331 1.479 -2.844,-0.614 -0.226 -0.756,-0.570 -0.289 -0.769,-0.511 0.427 -5.692,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,4.566,307.127,188.580 168.596,225.739 178.660,18.696,
15:04:41:768,48.14156,0,RTdata,5.386 -0.103 -3.042,12.937 315.512 359.820,-0.614 -0.234 0.754,1,1,fakeWallSouth,1.325 1.479 -2.839,-0.692 -0.224 -0.686,-0.751 -0.234 -0.618,0.617 1.229 -3.560,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,12.531,27.739,169.165 192.200,224.825 158.311,247.300,
15:04:41:801,48.17467,0,RTdata,5.394 -0.103 -3.034,12.743 323.528 359.825,-0.371 -0.134 0.919,1,1,fakeWallSouth,1.317 1.479 -2.832,-0.781 -0.221 -0.584,-0.917 -0.134 -0.376,0.426 1.332 -3.350,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,3.169,6.146,146.864 217.238,225.267 141.526,95.062,
15:04:41:835,48.20815,0,RTdata,5.403 -0.104 -3.026,12.571 332.450 0.030,-0.137 -0.152 0.979,1,1,fakeGround,1.309 1.479 -2.822,-0.863 -0.218 -0.456,-0.978 -0.152 -0.142,-0.240 1.219 -3.288,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,4.440,0.413,144.352 227.771,222.584 134.033,40.788,
15:04:41:867,48.24145,0,RTdata,5.413 -0.104 -3.020,12.641 340.833 0.322,0.006 -0.132 0.991,1,1,fakeGround,1.303 1.478 -2.812,-0.920 -0.219 -0.325,-0.991 -0.132 0.001,-0.060 1.291 -3.004,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,2.037,299.151,150.548 220.572,223.937 136.007,97.894,
15:04:41:901,48.2747,0,RTdata,5.422 -0.104 -3.017,12.471 348.013 0.977,0.013 -0.144 0.989,1,1,fakeGround,1.300 1.478 -2.803,-0.954 -0.216 -0.207,-0.990 -0.144 0.008,-0.682 1.172 -3.023,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,5.144,167.633,159.477 194.245,236.912 150.733,154.310,
15:04:41:935,48.30842,0,RTdata,5.430 -0.104 -3.015,11.977 354.105 1.684,-0.023 -0.101 0.995,1,1,fakeWallWest,1.298 1.479 -2.796,-0.973 -0.208 -0.105,-0.994 -0.101 -0.028,-0.733 1.247 -3.058,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,3.471,189.540,165.467 176.923,246.207 164.980,104.118,
15:04:41:968,48.34179,0,RTdata,5.436 -0.102 -3.015,11.256 359.405 2.080,-0.031 -0.121 0.992,1,1,nothing,1.298 1.480 -2.789,-0.981 -0.195 -0.015,-0.992 -0.121 -0.036,0.198 1.326 -2.931,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,8.812,190.703,170.861 165.063,250.600 175.869,78.876,
15:04:42:002,48.37533,0,RTdata,5.443 -0.101 -3.015,10.554 4.287 2.201,-0.027 -0.109 0.994,1,1,fakeWallWest,1.298 1.481 -2.783,-0.981 -0.183 0.069,-0.994 -0.109 -0.032,-0.825 1.217 -3.028,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,13.330,192.593,176.266 155.420,253.363 188.897,72.099,
15:04:42:035,48.40857,0,RTdata,5.449 -0.100 -3.015,10.027 8.801 2.127,-0.035 -0.141 0.989,1,1,fakeGround,1.298 1.482 -2.777,-0.974 -0.174 0.146,-0.989 -0.141 -0.039,0.855 1.410 -2.835,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,16.699,194.717,181.165 148.686,256.218 200.719,45.579,
