Timestamp,AppTime,GlobalBlock,Type,HeadPos,HeadRot(pitch yaw roll),EyeDirection,LeftEyeOpen,RightEyeOpen,EyeTarget,HeadPosAnchored,HeadForthAnchored,EyeDirectionAnchored,FixationPointAnchored,optiRbodyposA,optiRbodyposB,optiRbodyrotA,optiRbodyrotB,AmplitudeDeg,DirectionRadial,EyeLeft,EyeRight,VelocityDegps,Message
19:22:35:993,37.25037,0,Event,,,,0,0,none,,,,,,,,,,,,,,Started Experiment
19:22:35:994,37.25037,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinsetID:0 absolute and delta(local position)
19:22:35:995,37.25037,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint0:  x: 4.498811 y: -1.6764 z: -1.867054 deltax:-1 deltay:0 deltaz:0
19:22:35:995,37.25037,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint1:  x: 3.70793 y: -1.6764 z: -2.479023 deltax:0 deltay:0 deltaz:0
19:22:35:996,37.25037,0,Event,,,,0,0,none,,,,,,,,,,,,,,coinpoint2:  x: 2.917048 y: -1.6764 z: -3.090992 deltax:1 deltay:0 deltaz:0
19:22:35:996,37.25037,0,Event,,,,0,0,none,,,,,,,,,,,,,,Mark should happen if checked on terminal.
19:22:36:028,37.40254,0,RTdata,3.646 -0.240 -2.002,77.406 80.498 8.675,-0.187 -0.977 -0.098,1,1,MController,-0.243 1.436 -0.415,-0.192 -0.976 0.103,0.208 -0.977 -0.037,-0.185 1.115 -0.427,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.000,0.000,0.000 0.000,0.000 0.000,0.000,
19:22:36:029,37.40254,0,Event,,,,0,0,none,,,,,,,,,,,,,,Repositioned and ready to start block or round
19:22:36:178,37.56188,0,RTdata,3.647 -0.240 -2.015,77.269 87.840 12.717,-0.182 -0.972 -0.149,1,1,MController,-0.236 1.436 -0.404,-0.179 -0.975 0.128,0.235 -0.972 0.007,-0.145 1.020 -0.400,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,97.238 129.470,300.569 127.514,NaN,
19:22:36:266,37.65091,0,RTdata,3.647 -0.241 -2.024,77.316 91.452 14.124,-0.183 -0.975 -0.125,1,1,MController,-0.231 1.436 -0.397,-0.170 -0.976 0.139,0.221 -0.975 -0.013,-0.147 1.021 -0.402,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,98.674 127.023,303.049 128.787,NaN,
19:22:36:300,37.68467,0,RTdata,3.648 -0.241 -2.028,77.311 92.493 14.325,-0.179 -0.976 -0.125,1,1,MController,-0.228 1.436 -0.394,-0.168 -0.976 0.142,0.218 -0.976 -0.011,-0.158 1.074 -0.397,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,98.781 125.354,304.586 129.253,NaN,
19:22:36:332,37.71759,0,RTdata,3.648 -0.241 -2.031,77.308 93.177 14.234,-0.182 -0.976 -0.116,1,1,MController,-0.226 1.436 -0.391,-0.166 -0.976 0.144,0.215 -0.976 -0.020,-0.156 1.069 -0.398,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,99.692 125.007,305.554 130.007,NaN,
19:22:36:366,37.75162,0,RTdata,3.648 -0.241 -2.035,77.234 93.775 13.975,-0.184 -0.977 -0.107,1,1,MController,-0.224 1.436 -0.388,-0.165 -0.975 0.146,0.211 -0.977 -0.028,-0.155 1.073 -0.397,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,99.346 124.317,306.502 129.888,NaN,
19:22:36:399,37.78437,0,RTdata,3.648 -0.241 -2.039,77.155 94.247 13.569,-0.184 -0.978 -0.100,1,1,MController,-0.222 1.436 -0.384,-0.165 -0.975 0.149,0.206 -0.978 -0.033,-0.153 1.068 -0.396,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,99.209 123.508,306.512 130.556,NaN,
19:22:36:433,37.81849,0,RTdata,3.648 -0.241 -2.043,77.181 94.180 12.606,-0.184 -0.979 -0.082,1,1,MController,-0.220 1.436 -0.381,-0.165 -0.975 0.148,0.196 -0.979 -0.048,-0.160 1.092 -0.396,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,100.104 122.780,307.517 131.181,NaN,
19:22:36:467,37.85154,0,RTdata,3.648 -0.241 -2.047,77.267 93.213 10.830,-0.187 -0.979 -0.078,1,1,MController,-0.217 1.436 -0.378,-0.166 -0.975 0.144,0.196 -0.979 -0.053,-0.154 1.074 -0.394,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,100.392 122.013,307.687 131.793,NaN,
19:22:36:501,37.8857,0,RTdata,3.648 -0.241 -2.051,77.324 91.218 8.106,-0.187 -0.979 -0.078,0,0,MController,-0.215 1.436 -0.375,-0.171 -0.976 0.138,0.196 -0.979 -0.053,-0.154 1.074 -0.394,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,0.000 0.000,294.856 141.225,NaN,
19:22:36:532,37.91811,0,RTdata,3.648 -0.240 -2.054,77.304 88.439 4.755,-0.187 -0.979 -0.078,0,0,MController,-0.212 1.436 -0.373,-0.177 -0.976 0.130,0.196 -0.979 -0.053,-0.154 1.074 -0.394,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,0.000 0.000,341.013 152.733,NaN,
19:22:36:568,37.95212,0,RTdata,3.647 -0.240 -2.058,77.224 84.755 0.532,-0.187 -0.979 -0.078,0,0,MController,-0.210 1.436 -0.371,-0.187 -0.975 0.119,0.196 -0.979 -0.053,-0.154 1.074 -0.394,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,109.081 94.664,337.642 170.660,NaN,
19:22:36:601,37.9868,0,RTdata,3.646 -0.240 -2.060,77.050 80.853 356.276,-0.187 -0.979 -0.078,0,0,MController,-0.208 1.437 -0.369,-0.197 -0.975 0.107,0.196 -0.979 -0.053,-0.154 1.074 -0.394,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,116.375 92.612,341.785 176.545,NaN,
19:22:36:634,38.0187,0,RTdata,3.646 -0.239 -2.063,76.813 76.977 352.078,-0.165 -0.979 0.120,0,0,fakeGround,-0.205 1.437 -0.367,-0.207 -0.974 0.095,0.057 -0.979 -0.196,-0.154 1.074 -0.394,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,114.654 90.856,341.155 176.761,NaN,
19:22:36:667,38.05193,0,RTdata,3.644 -0.239 -2.065,76.524 73.496 348.297,-0.159 -0.979 0.126,0,1,fakeGround,-0.203 1.437 -0.366,-0.217 -0.972 0.084,0.048 -0.979 -0.197,-0.154 1.074 -0.394,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,113.036 90.187,340.801 175.120,NaN,
19:22:36:701,38.08564,0,RTdata,3.643 -0.238 -2.068,76.111 70.451 345.014,-0.139 -0.935 0.326,1,1,fakeGround,-0.201 1.438 -0.365,-0.228 -0.971 0.075,-0.089 -0.935 -0.343,-0.238 1.098 -0.482,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,21.411,168.654,110.729 90.154,341.720 171.403,411.974,
19:22:36:733,38.1188,0,RTdata,3.642 -0.237 -2.070,75.599 67.956 342.281,-0.111 -0.940 0.323,1,1,fakeGround,-0.198 1.439 -0.364,-0.239 -0.969 0.067,-0.109 -0.940 -0.323,-0.241 1.114 -0.469,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,108.262 89.891,342.881 168.362,NaN,
19:22:36:767,38.1523,0,RTdata,3.641 -0.236 -2.072,75.000 65.841 339.954,-0.110 -0.938 0.328,1,1,fakeGround,-0.196 1.440 -0.363,-0.252 -0.966 0.061,-0.114 -0.938 -0.327,-0.238 1.138 -0.463,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.947,74.387,105.954 89.996,343.579 165.612,9.888,
19:22:36:801,38.18531,0,RTdata,3.639 -0.235 -2.074,74.343 64.309 338.214,-0.070 -0.944 0.324,1,1,fakeGround,-0.194 1.442 -0.362,-0.264 -0.963 0.056,-0.143 -0.944 -0.299,-0.243 1.145 -0.451,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,2.111,74.254,103.120 90.137,345.032 162.708,26.969,
19:22:36:835,38.21983,0,RTdata,3.638 -0.233 -2.075,73.632 63.233 336.949,-0.050 -0.948 0.315,1,1,fakeGround,-0.192 1.443 -0.362,-0.277 -0.959 0.054,-0.153 -0.948 -0.280,-0.248 1.129 -0.450,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,3.519,73.750,99.694 90.377,346.088 158.878,9.475,
19:22:36:868,38.25258,0,RTdata,3.638 -0.232 -2.077,73.059 62.618 336.192,-0.037 -0.947 0.320,1,1,fakeGround,-0.190 1.444 -0.361,-0.287 -0.957 0.052,-0.167 -0.947 -0.275,-0.250 1.131 -0.448,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,3.848,72.719,98.902 90.591,346.687 157.648,10.085,
19:22:36:901,38.2864,0,RTdata,3.637 -0.231 -2.078,72.572 62.327 335.768,0.002 -0.953 0.302,1,1,fakeGround,-0.189 1.446 -0.361,-0.295 -0.954 0.052,-0.186 -0.953 -0.238,-0.253 1.151 -0.431,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,5.783,29.160,96.466 91.617,346.806 154.814,12.372,
19:22:36:936,38.32173,0,RTdata,3.636 -0.230 -2.080,72.229 62.434 335.719,0.011 -0.954 0.300,1,1,fakeGround,-0.187 1.447 -0.360,-0.300 -0.952 0.054,-0.193 -0.954 -0.230,-0.252 1.160 -0.427,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.746,81.993,94.653 91.459,347.171 153.960,22.380,
19:22:36:967,38.35248,0,RTdata,3.635 -0.229 -2.081,72.035 62.749 335.930,-0.041 -0.926 0.375,1,1,fakeGround,-0.186 1.448 -0.360,-0.303 -0.951 0.056,-0.197 -0.926 -0.322,-0.256 1.153 -0.459,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,100.557 90.168,346.977 163.077,NaN,
19:22:37:001,38.38586,0,RTdata,3.634 -0.228 -2.081,71.898 63.267 336.319,-0.027 -0.931 0.364,1,1,fakeGround,-0.185 1.448 -0.360,-0.305 -0.951 0.059,-0.201 -0.931 -0.304,-0.254 1.160 -0.451,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.325,74.949,102.974 88.355,348.614 168.284,9.748,
19:22:37:034,38.41912,0,RTdata,3.633 -0.227 -2.082,71.823 63.911 336.834,-0.019 -0.936 0.352,1,1,fakeGround,-0.183 1.449 -0.360,-0.306 -0.950 0.063,-0.200 -0.936 -0.290,-0.251 1.169 -0.444,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.966,12.054,101.990 88.953,348.575 165.930,19.536,
19:22:37:067,38.45233,0,RTdata,3.632 -0.226 -2.082,71.741 64.595 337.453,-0.013 -0.942 0.336,1,1,fakeGround,-0.183 1.450 -0.360,-0.306 -0.950 0.067,-0.195 -0.942 -0.274,-0.247 1.176 -0.437,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,1.943,11.582,99.976 89.801,348.497 163.547,16.833,
19:22:37:101,38.48601,0,RTdata,3.631 -0.226 -2.083,71.621 65.251 338.064,0.002 -0.948 0.319,1,1,fakeGround,-0.182 1.451 -0.361,-0.307 -0.949 0.071,-0.197 -0.948 -0.251,-0.248 1.169 -0.432,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,3.109,4.775,99.555 91.116,347.529 160.780,19.837,
19:22:37:135,38.51979,0,RTdata,3.630 -0.225 -2.083,71.514 65.920 338.648,-0.021 -0.953 0.302,1,1,fakeGround,-0.181 1.451 -0.361,-0.308 -0.948 0.075,-0.168 -0.953 -0.252,-0.237 1.177 -0.430,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,4.565,351.090,98.311 93.269,344.459 157.954,14.485,
19:22:37:169,38.5538,0,RTdata,3.630 -0.225 -2.083,71.480 66.466 339.161,-0.018 -0.956 0.294,1,1,fakeGround,-0.181 1.452 -0.361,-0.308 -0.948 0.078,-0.166 -0.956 -0.244,-0.237 1.175 -0.429,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,5.143,347.370,98.490 94.160,343.188 156.974,19.745,
19:22:37:202,38.58607,0,RTdata,3.629 -0.224 -2.082,71.542 66.816 339.524,-0.014 -0.960 0.278,1,1,fakeGround,-0.181 1.452 -0.362,-0.306 -0.949 0.080,-0.159 -0.960 -0.228,-0.236 1.167 -0.426,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,6.035,346.316,98.721 95.931,342.004 155.132,14.374,
19:22:37:234,38.61978,0,RTdata,3.629 -0.225 -2.082,71.683 67.266 339.947,-0.014 -0.966 0.260,1,1,fakeGround,-0.180 1.452 -0.363,-0.304 -0.949 0.081,-0.148 -0.966 -0.214,-0.233 1.164 -0.423,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.482,51.413,96.584 97.188,339.523 152.891,14.448,
19:22:37:268,38.65313,0,RTdata,3.628 -0.225 -2.081,71.967 67.526 340.247,-0.021 -0.969 0.245,1,1,fakeGround,-0.180 1.451 -0.363,-0.299 -0.951 0.081,-0.134 -0.969 -0.206,-0.229 1.165 -0.420,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,1.002,16.691,96.433 98.804,337.984 151.279,11.123,
19:22:37:301,38.6865,0,RTdata,3.628 -0.226 -2.081,72.407 67.595 340.357,-0.023 -0.973 0.231,1,1,fakeGround,-0.180 1.450 -0.364,-0.292 -0.953 0.080,-0.123 -0.973 -0.197,-0.226 1.166 -0.417,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,8.952,339.823,95.257 100.030,336.666 150.010,9.757,
19:22:37:334,38.71928,0,RTdata,3.627 -0.227 -2.080,72.933 67.925 340.705,-0.040 -0.976 0.215,1,1,fakeGround,-0.180 1.449 -0.365,-0.283 -0.956 0.079,-0.100 -0.976 -0.195,-0.218 1.183 -0.414,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.554,36.866,93.371 101.699,337.037 147.257,16.607,
19:22:37:368,38.7536,0,RTdata,3.627 -0.229 -2.079,73.578 68.418 341.290,-0.029 -0.981 0.193,1,1,fakeGround,-0.181 1.448 -0.366,-0.272 -0.959 0.079,-0.095 -0.981 -0.170,-0.219 1.163 -0.411,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,1.338,35.785,91.948 102.978,336.824 145.192,9.420,
19:22:37:402,38.78678,0,RTdata,3.626 -0.230 -2.078,74.244 69.055 342.005,-0.035 -0.984 0.174,1,1,MController,-0.181 1.446 -0.367,-0.260 -0.962 0.078,-0.079 -0.984 -0.159,-0.213 1.171 -0.407,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,2.081,43.596,90.166 103.622,337.265 143.730,8.257,
19:22:37:437,38.82172,0,RTdata,3.626 -0.231 -2.077,74.911 70.186 343.196,-0.053 -0.987 0.152,1,1,MController,-0.181 1.445 -0.368,-0.248 -0.966 0.080,-0.051 -0.987 -0.152,-0.204 1.183 -0.405,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,3.067,41.285,88.330 105.195,336.291 141.995,12.565,
19:22:37:469,38.85326,0,RTdata,3.626 -0.232 -2.077,75.445 71.516 344.536,-0.049 -0.990 0.135,1,1,MController,-0.181 1.444 -0.369,-0.237 -0.968 0.083,-0.044 -0.990 -0.137,-0.204 1.169 -0.403,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,4.136,42.511,86.089 106.540,335.817 139.913,12.916,
19:22:37:502,38.88677,0,RTdata,3.625 -0.233 -2.076,75.908 73.356 346.284,-0.054 -0.992 0.113,1,1,MController,-0.181 1.443 -0.369,-0.227 -0.970 0.088,-0.026 -0.992 -0.122,-0.199 1.172 -0.400,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,5.287,42.450,83.782 108.142,335.807 138.198,18.488,
19:22:37:536,38.92035,0,RTdata,3.625 -0.233 -2.075,76.247 75.821 348.595,-0.064 -0.993 0.096,1,1,MController,-0.182 1.443 -0.370,-0.218 -0.971 0.095,-0.009 -0.993 -0.115,-0.193 1.192 -0.397,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,6.157,39.156,82.545 110.041,334.076 136.124,14.961,
19:22:37:569,38.95381,0,RTdata,3.626 -0.234 -2.075,76.464 78.529 351.095,0.017 -0.999 0.029,1,1,MController,-0.182 1.443 -0.370,-0.210 -0.972 0.104,-0.031 -0.999 -0.012,-0.200 1.162 -0.372,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,3.163,68.586,68.224 117.128,340.814 127.508,94.902,
19:22:37:602,38.98664,0,RTdata,3.626 -0.234 -2.075,76.615 81.230 353.499,0.014 -1.000 0.008,1,1,MController,-0.182 1.443 -0.370,-0.203 -0.973 0.112,-0.016 -1.000 0.002,-0.196 1.159 -0.368,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,0.247,252.851,69.039 116.745,339.706 125.906,7.422,
19:22:37:636,39.02082,0,RTdata,3.626 -0.233 -2.075,76.666 84.149 356.044,0.009 -1.000 -0.005,1,1,MController,-0.182 1.443 -0.370,-0.196 -0.973 0.122,-0.004 -1.000 0.009,-0.192 1.158 -0.366,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,69.632 117.047,338.614 125.106,NaN,
19:22:37:668,39.05375,0,RTdata,3.626 -0.233 -2.075,76.652 86.758 358.265,-0.005 -1.000 -0.005,1,1,MController,-0.183 1.443 -0.369,-0.190 -0.973 0.131,0.007 -1.000 0.001,-0.189 1.183 -0.368,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,70.892 117.745,337.400 125.010,NaN,
19:22:37:702,39.08762,0,RTdata,3.626 -0.233 -2.075,76.690 88.909 0.029,-0.005 -1.000 -0.020,1,1,MController,-0.183 1.443 -0.369,-0.185 -0.973 0.137,0.016 -1.000 0.013,-0.186 1.168 -0.364,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,72.435 117.426,335.808 125.369,NaN,
19:22:37:736,39.12055,0,RTdata,3.627 -0.233 -2.076,76.789 90.632 1.385,-0.013 -1.000 -0.021,1,1,MController,-0.183 1.443 -0.369,-0.179 -0.974 0.142,0.023 -1.000 0.008,-0.185 1.171 -0.364,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,72.507 117.061,334.648 126.108,NaN,
19:22:37:769,39.154,0,RTdata,3.627 -0.233 -2.076,76.873 91.837 2.243,-0.030 -0.999 -0.027,1,1,MController,-0.183 1.443 -0.369,-0.175 -0.974 0.145,0.040 -0.999 0.003,-0.180 1.190 -0.365,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,72.978 116.590,335.081 126.561,NaN,
19:22:37:803,39.1876,0,RTdata,3.627 -0.233 -2.076,76.962 92.539 2.610,-0.031 -0.999 -0.021,1,1,MController,-0.183 1.443 -0.368,-0.172 -0.974 0.146,0.037 -0.999 -0.002,-0.180 1.188 -0.365,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,73.959 115.902,336.519 127.292,NaN,
19:22:37:835,39.22046,0,RTdata,3.627 -0.233 -2.076,77.005 92.827 2.645,-0.023 -0.999 -0.026,1,1,MController,-0.183 1.443 -0.368,-0.171 -0.974 0.146,0.034 -0.999 0.007,-0.181 1.171 -0.363,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,74.186 115.431,336.532 127.269,NaN,
19:22:37:869,39.25459,0,RTdata,3.628 -0.233 -2.075,76.956 93.075 2.685,-0.011 -1.000 -0.012,1,1,MController,-0.184 1.443 -0.368,-0.171 -0.974 0.147,0.016 -1.000 0.003,-0.185 1.154 -0.364,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,73.867 114.526,337.739 127.637,NaN,
19:22:37:902,39.28736,0,RTdata,3.629 -0.233 -2.075,76.894 93.654 3.016,-0.018 -1.000 -0.016,1,1,MController,-0.185 1.443 -0.368,-0.170 -0.974 0.150,0.024 -1.000 0.002,-0.184 1.176 -0.364,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,73.519 114.022,337.428 127.918,NaN,
19:22:37:937,39.32111,0,RTdata,3.629 -0.233 -2.075,76.872 94.654 3.720,-0.026 -1.000 -0.011,1,1,MController,-0.185 1.443 -0.367,-0.168 -0.974 0.153,0.028 -1.000 -0.007,-0.185 1.180 -0.366,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,2.277,310.112,77.408 118.206,337.835 128.244,68.301,
19:22:37:970,39.35477,0,RTdata,3.630 -0.233 -2.075,76.889 95.696 4.463,-0.024 -1.000 -0.010,1,1,MController,-0.186 1.443 -0.367,-0.165 -0.974 0.156,0.025 -1.000 -0.007,-0.186 1.183 -0.366,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,76.756 112.693,337.503 128.960,NaN,
19:22:38:003,39.38787,0,RTdata,3.631 -0.233 -2.075,76.911 96.590 5.098,-0.025 -1.000 -0.002,1,1,MController,-0.186 1.443 -0.367,-0.162 -0.974 0.158,0.021 -1.000 -0.013,-0.187 1.188 -0.366,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,77.815 111.649,338.486 130.964,NaN,
19:22:38:036,39.42188,0,RTdata,3.632 -0.233 -2.075,76.881 97.240 5.525,-0.026 -1.000 0.000,1,1,MController,-0.187 1.443 -0.367,-0.161 -0.974 0.160,0.020 -1.000 -0.016,-0.188 1.189 -0.367,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,76.906 111.342,338.855 130.855,NaN,
19:22:38:070,39.45506,0,RTdata,3.632 -0.233 -2.074,76.843 97.637 5.734,-0.024 -1.000 0.004,1,1,MController,-0.188 1.443 -0.366,-0.160 -0.974 0.162,0.017 -1.000 -0.018,-0.189 1.190 -0.367,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,76.780 110.744,339.444 131.789,NaN,
19:22:38:104,39.48963,0,RTdata,3.633 -0.233 -2.074,76.873 97.911 5.819,-0.025 -1.000 0.008,1,1,MController,-0.189 1.443 -0.366,-0.159 -0.974 0.162,0.015 -1.000 -0.021,-0.191 1.185 -0.367,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,78.070 110.063,339.071 132.658,NaN,
19:22:38:137,39.52207,0,RTdata,3.634 -0.234 -2.073,76.952 98.106 5.866,-0.056 -0.995 0.086,1,1,MController,-0.190 1.443 -0.366,-0.157 -0.974 0.162,-0.008 -0.995 -0.102,-0.198 1.196 -0.387,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,4.467,207.844,85.757 105.763,340.097 144.455,96.841,
19:22:38:170,39.55494,0,RTdata,3.635 -0.234 -2.073,77.036 98.169 5.823,-0.062 -0.994 0.085,1,1,MController,-0.191 1.443 -0.366,-0.156 -0.975 0.161,-0.003 -0.994 -0.105,-0.198 1.192 -0.388,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,86.484 106.139,339.979 144.868,NaN,
19:22:38:204,39.5886,0,RTdata,3.636 -0.234 -2.072,77.115 98.152 5.699,-0.055 -0.994 0.096,1,1,MController,-0.192 1.442 -0.365,-0.155 -0.975 0.160,-0.015 -0.994 -0.109,-0.202 1.193 -0.388,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,87.023 104.932,341.830 145.326,NaN,
19:22:38:238,39.62176,0,RTdata,3.637 -0.235 -2.072,77.209 98.010 5.453,-0.055 -0.993 0.103,1,1,MController,-0.193 1.442 -0.365,-0.155 -0.975 0.159,-0.020 -0.993 -0.115,-0.204 1.194 -0.389,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,87.262 103.877,342.652 145.944,NaN,
19:22:38:271,39.65525,0,RTdata,3.638 -0.235 -2.071,77.271 97.653 4.994,-0.050 -0.992 0.112,1,1,MController,-0.194 1.442 -0.365,-0.155 -0.975 0.157,-0.029 -0.992 -0.119,-0.207 1.191 -0.390,2.910 0.000 1.740,2.910 0.000 1.740,0.000 0.000 0.000 1.000,0.000 0.000 0.000 1.000,NaN,NaN,86.537 102.448,344.112 146.631,NaN,
